date,publisher_id,ad_unit_id,deal_id,device,geo,delivered_impressions,ad_server_clicks,viewable_impressions,measurable_impressions
2026-04-04,PDM-001,AU-114,DEAL-1021,mobile,US,7021,42,4973,6870
2026-04-04,PDM-001,AU-103,DEAL-1024,desktop,US,14957,106,9192,14787
2026-04-05,PDM-001,AU-101,DEAL-1001,desktop,US,11271,89,8197,10994
2026-04-05,PDM-001,AU-101,DEAL-1001,mobile,US,6045,20,4502,5603
2026-04-05,PDM-001,AU-101,DEAL-1001,desktop,UK,10113,71,5718,9990
2026-04-05,PDM-001,AU-105,DEAL-1002,mobile,US,18219,126,11857,17857
2026-04-05,PDM-001,AU-107,DEAL-1003,desktop,US,12452,32,7667,12052
2026-04-05,PDM-001,AU-107,DEAL-1003,mobile,US,12791,75,7113,11857
2026-04-05,PDM-001,AU-107,DEAL-1003,desktop,DE,2445,7,1373,2313
2026-04-05,PDM-001,AU-109,DEAL-1004,desktop,US,3187,18,2206,3043
2026-04-05,PDM-001,AU-109,DEAL-1004,mobile,US,13024,94,7893,12406
2026-04-05,PDM-001,AU-103,DEAL-1005,desktop,US,9369,37,7057,8783
2026-04-05,PDM-001,AU-103,DEAL-1005,mobile,US,11849,59,9645,11377
2026-04-05,PDM-001,AU-103,DEAL-1005,desktop,UK,10258,59,5631,9972
2026-04-05,PDM-001,AU-112,DEAL-1006,mobile,US,14824,80,10759,14282
2026-04-05,PDM-001,AU-102,DEAL-1009,mobile,US,10397,30,7981,9684
2026-04-05,PDM-001,AU-114,DEAL-1009,mobile,US,3172,6,2021,3120
2026-04-05,PDM-001,AU-111,DEAL-1010,desktop,US,10098,20,8058,9973
2026-04-05,PDM-001,AU-106,DEAL-1013,mobile,US,5020,31,3128,4710
2026-04-05,PDM-001,AU-112,DEAL-1016,desktop,US,6603,28,4765,6398
2026-04-05,PDM-001,AU-112,DEAL-1016,mobile,US,3909,7,2603,3660
2026-04-05,PDM-001,AU-110,DEAL-1022,desktop,US,9354,24,7465,8843
2026-04-05,PDM-001,AU-103,DEAL-1024,desktop,US,8537,57,4852,7908
2026-04-05,PDM-001,AU-112,DEAL-1025,mobile,US,8475,20,5937,8289
2026-04-06,PDM-001,AU-101,DEAL-1001,desktop,UK,7335,21,6137,7253
2026-04-06,PDM-001,AU-107,DEAL-1003,desktop,US,3344,11,2369,3261
2026-04-06,PDM-001,AU-107,DEAL-1003,mobile,US,5717,35,4232,5470
2026-04-06,PDM-001,AU-108,DEAL-1003,tablet,US,5838,7,4610,5691
2026-04-06,PDM-001,AU-103,DEAL-1005,desktop,US,18195,105,14288,17363
2026-04-06,PDM-001,AU-103,DEAL-1005,mobile,US,14554,29,9966,13518
2026-04-06,PDM-001,AU-112,DEAL-1006,mobile,US,23838,40,18615,23101
2026-04-06,PDM-001,AU-106,DEAL-1008,desktop,US,17296,58,11107,16461
2026-04-06,PDM-001,AU-106,DEAL-1008,mobile,US,14240,39,10623,14051
2026-04-06,PDM-001,AU-114,DEAL-1009,mobile,US,7054,11,5438,6854
2026-04-06,PDM-001,AU-104,DEAL-1010,mobile,US,17461,124,11651,17214
2026-04-06,PDM-001,AU-111,DEAL-1010,mobile,US,23674,81,13956,22737
2026-04-06,PDM-001,AU-113,DEAL-1011,mobile,US,15472,75,9096,14358
2026-04-06,PDM-001,AU-103,DEAL-1012,desktop,US,16561,111,11845,15947
2026-04-06,PDM-001,AU-103,DEAL-1012,mobile,US,4948,14,3980,4816
2026-04-06,PDM-001,AU-106,DEAL-1013,mobile,US,22557,85,15521,20976
2026-04-06,PDM-001,AU-104,DEAL-1014,desktop,US,19882,78,12403,18765
2026-04-06,PDM-001,AU-105,DEAL-1016,desktop,US,4223,26,2239,3899
2026-04-06,PDM-001,AU-108,DEAL-1017,mobile,US,7729,30,5473,7263
2026-04-06,PDM-001,AU-107,DEAL-1018,desktop,US,15451,16,8918,14540
2026-04-06,PDM-001,AU-107,DEAL-1018,mobile,US,13484,24,8743,12874
2026-04-06,PDM-001,AU-113,DEAL-1019,desktop,US,19951,89,15455,19518
2026-04-06,PDM-001,AU-113,DEAL-1019,mobile,US,18294,77,10901,16930
2026-04-06,PDM-001,AU-114,DEAL-1021,mobile,US,4683,10,3177,4618
2026-04-06,PDM-001,AU-109,DEAL-1023,mobile,US,23296,108,14197,22077
2026-04-06,PDM-001,AU-103,DEAL-1024,desktop,US,13413,61,8750,12447
2026-04-06,PDM-001,AU-112,DEAL-1025,desktop,US,7339,14,5007,6853
2026-04-07,PDM-001,AU-101,DEAL-1001,mobile,US,19202,94,13913,18444
2026-04-07,PDM-001,AU-107,DEAL-1003,desktop,US,12859,19,7836,12228
2026-04-07,PDM-001,AU-107,DEAL-1003,mobile,US,15532,23,8301,14791
2026-04-07,PDM-001,AU-108,DEAL-1003,desktop,US,5458,24,3723,5198
2026-04-07,PDM-001,AU-103,DEAL-1005,desktop,US,18085,139,13650,17208
2026-04-07,PDM-001,AU-110,DEAL-1005,desktop,US,8154,48,5705,8067
2026-04-07,PDM-001,AU-106,DEAL-1008,desktop,US,13465,22,8275,13027
2026-04-07,PDM-001,AU-102,DEAL-1009,mobile,US,25745,190,18105,24244
2026-04-07,PDM-001,AU-104,DEAL-1010,mobile,US,14144,51,10953,13796
2026-04-07,PDM-001,AU-104,DEAL-1014,mobile,US,15197,66,8409,14222
2026-04-07,PDM-001,AU-101,DEAL-1015,desktop,US,5814,27,3999,5649
2026-04-07,PDM-001,AU-112,DEAL-1016,mobile,US,26703,143,20119,26254
2026-04-07,PDM-001,AU-108,DEAL-1017,desktop,US,14437,38,8725,13730
2026-04-07,PDM-001,AU-107,DEAL-1018,desktop,US,17868,102,11700,17152
2026-04-07,PDM-001,AU-102,DEAL-1020,mobile,US,23813,169,15267,21994
2026-04-07,PDM-001,AU-109,DEAL-1023,desktop,US,5248,21,4009,5016
2026-04-07,PDM-001,AU-109,DEAL-1023,mobile,US,18782,141,11923,17824
2026-04-07,PDM-001,AU-112,DEAL-1025,desktop,US,9857,74,7186,9647
2026-04-08,PDM-001,AU-101,DEAL-1001,desktop,US,11900,81,7998,11580
2026-04-08,PDM-001,AU-105,DEAL-1002,desktop,US,9566,72,6233,9208
2026-04-08,PDM-001,AU-107,DEAL-1003,desktop,US,6492,25,4351,6333
2026-04-08,PDM-001,AU-107,DEAL-1003,mobile,US,23553,26,14019,22518
2026-04-08,PDM-001,AU-107,DEAL-1003,desktop,DE,16565,57,9639,15901
2026-04-08,PDM-001,AU-103,DEAL-1005,mobile,US,5426,20,3973,5133
2026-04-08,PDM-001,AU-110,DEAL-1005,desktop,US,10401,17,7763,9992
2026-04-08,PDM-001,AU-110,DEAL-1005,mobile,US,21891,146,15994,20408
2026-04-08,PDM-001,AU-101,DEAL-1007,mobile,US,5211,12,4145,5082
2026-04-08,PDM-001,AU-106,DEAL-1008,desktop,US,12660,100,7592,12128
2026-04-08,PDM-001,AU-114,DEAL-1009,desktop,US,14197,79,10529,13332
2026-04-08,PDM-001,AU-104,DEAL-1010,mobile,US,20259,90,14079,19949
2026-04-08,PDM-001,AU-113,DEAL-1011,desktop,US,8413,27,5826,7787
2026-04-08,PDM-001,AU-113,DEAL-1011,mobile,US,9460,38,6911,8999
2026-04-08,PDM-001,AU-104,DEAL-1014,mobile,US,15904,105,12861,15388
2026-04-08,PDM-001,AU-101,DEAL-1015,desktop,US,16858,24,10840,16428
2026-04-08,PDM-001,AU-113,DEAL-1019,desktop,US,6217,14,4898,5944
2026-04-08,PDM-001,AU-113,DEAL-1019,mobile,US,27069,67,19760,26062
2026-04-08,PDM-001,AU-102,DEAL-1020,mobile,US,6426,14,5292,6232
2026-04-08,PDM-001,AU-103,DEAL-1024,desktop,US,12328,73,7194,11946
2026-04-08,PDM-001,AU-112,DEAL-1025,desktop,US,9085,59,5997,8374
2026-04-09,PDM-001,AU-105,DEAL-1002,desktop,US,12634,76,9437,12088
2026-04-09,PDM-001,AU-107,DEAL-1003,desktop,US,12888,53,8147,12470
2026-04-09,PDM-001,AU-108,DEAL-1003,mobile,US,18176,134,9861,16792
2026-04-09,PDM-001,AU-108,DEAL-1003,tablet,US,3443,25,2687,3221
2026-04-09,PDM-001,AU-109,DEAL-1004,mobile,US,12211,66,6876,11704
2026-04-09,PDM-001,AU-109,DEAL-1004,desktop,FR,19981,109,13911,19210
2026-04-09,PDM-001,AU-103,DEAL-1005,desktop,US,13563,91,7047,12504
2026-04-09,PDM-001,AU-101,DEAL-1007,mobile,US,19825,131,12266,19189
2026-04-09,PDM-001,AU-106,DEAL-1008,desktop,US,4463,17,2771,4251
2026-04-09,PDM-001,AU-106,DEAL-1008,mobile,US,15317,29,10409,14488
2026-04-09,PDM-001,AU-114,DEAL-1009,desktop,US,17785,73,9346,16537
2026-04-09,PDM-001,AU-113,DEAL-1011,mobile,US,20327,86,13949,19951
2026-04-09,PDM-001,AU-103,DEAL-1012,desktop,US,15385,119,9434,14385
2026-04-09,PDM-001,AU-103,DEAL-1012,mobile,US,23579,131,15975,22469
2026-04-09,PDM-001,AU-112,DEAL-1016,desktop,US,20628,76,14033,19628
2026-04-09,PDM-001,AU-111,DEAL-1017,desktop,US,5668,37,4448,5349
2026-04-09,PDM-001,AU-107,DEAL-1018,desktop,US,19182,24,13523,17699
2026-04-09,PDM-001,AU-113,DEAL-1019,mobile,US,8580,64,5399,8084
2026-04-09,PDM-001,AU-103,DEAL-1024,desktop,US,13354,104,10123,12831
2026-04-09,PDM-001,AU-112,DEAL-1025,mobile,US,12700,82,8949,12374
2026-04-10,PDM-001,AU-101,DEAL-1001,desktop,UK,14958,86,11510,13794
2026-04-10,PDM-001,AU-105,DEAL-1002,desktop,US,3120,12,1809,2960
2026-04-10,PDM-001,AU-101,DEAL-1007,mobile,US,10300,30,8067,9691
2026-04-10,PDM-001,AU-111,DEAL-1010,mobile,US,26171,95,20581,25872
2026-04-10,PDM-001,AU-103,DEAL-1012,desktop,US,11925,40,7109,11340
2026-04-10,PDM-001,AU-106,DEAL-1013,desktop,US,20148,118,13760,18729
2026-04-10,PDM-001,AU-104,DEAL-1014,desktop,US,19901,52,11974,18448
2026-04-10,PDM-001,AU-101,DEAL-1015,mobile,US,9175,51,6238,9006
2026-04-10,PDM-001,AU-112,DEAL-1016,desktop,US,11852,87,7928,10978
2026-04-10,PDM-001,AU-111,DEAL-1017,mobile,US,5190,19,4116,4954
2026-04-10,PDM-001,AU-113,DEAL-1019,mobile,US,23751,178,15378,22407
2026-04-10,PDM-001,AU-114,DEAL-1021,mobile,US,19336,45,10742,17941
2026-04-10,PDM-001,AU-110,DEAL-1022,mobile,US,4461,14,3156,4196
2026-04-10,PDM-001,AU-109,DEAL-1023,desktop,US,15787,52,8659,14966
2026-04-10,PDM-001,AU-112,DEAL-1025,desktop,US,15068,94,9524,14868
2026-04-11,PDM-001,AU-101,DEAL-1001,desktop,US,8031,14,5077,7560
2026-04-11,PDM-001,AU-105,DEAL-1002,mobile,US,15543,39,10638,15341
2026-04-11,PDM-001,AU-112,DEAL-1006,desktop,DE,13586,27,9045,12811
2026-04-11,PDM-001,AU-101,DEAL-1007,desktop,US,5978,43,3222,5686
2026-04-11,PDM-001,AU-101,DEAL-1007,mobile,US,10651,45,7976,10400
2026-04-11,PDM-001,AU-102,DEAL-1009,desktop,US,9076,12,7543,8918
2026-04-11,PDM-001,AU-104,DEAL-1010,desktop,US,5695,34,3724,5623
2026-04-11,PDM-001,AU-113,DEAL-1011,mobile,US,6034,11,3987,5970
2026-04-11,PDM-001,AU-103,DEAL-1012,desktop,US,5432,16,3747,5253
2026-04-11,PDM-001,AU-106,DEAL-1013,mobile,US,5338,38,2908,5196
2026-04-11,PDM-001,AU-105,DEAL-1016,desktop,US,2618,13,1432,2537
2026-04-11,PDM-001,AU-112,DEAL-1016,mobile,US,3806,11,2860,3718
2026-04-11,PDM-001,AU-108,DEAL-1017,desktop,US,9433,74,6081,9022
2026-04-11,PDM-001,AU-108,DEAL-1017,mobile,US,17126,92,11366,16268
2026-04-11,PDM-001,AU-113,DEAL-1019,desktop,US,9846,22,5867,9429
2026-04-11,PDM-001,AU-113,DEAL-1019,mobile,US,12701,98,7188,12180
2026-04-11,PDM-001,AU-102,DEAL-1020,desktop,US,5183,21,3483,4902
2026-04-11,PDM-001,AU-114,DEAL-1021,desktop,US,9964,70,7238,9298
2026-04-11,PDM-001,AU-109,DEAL-1023,mobile,US,8122,14,5577,8040
2026-04-11,PDM-001,AU-103,DEAL-1024,desktop,US,6076,39,4083,5751
2026-04-11,PDM-001,AU-112,DEAL-1025,desktop,US,10997,86,8402,10478
2026-04-12,PDM-001,AU-105,DEAL-1002,desktop,US,4810,24,2980,4667
2026-04-12,PDM-001,AU-105,DEAL-1002,mobile,US,11786,52,8599,11383
2026-04-12,PDM-001,AU-107,DEAL-1003,desktop,US,12919,54,8227,12548
2026-04-12,PDM-001,AU-107,DEAL-1003,mobile,US,14668,70,8033,14153
2026-04-12,PDM-001,AU-107,DEAL-1003,desktop,DE,3468,13,2102,3395
2026-04-12,PDM-001,AU-108,DEAL-1003,mobile,US,10647,58,8642,10491
2026-04-12,PDM-001,AU-109,DEAL-1004,desktop,US,11013,51,8721,10343
2026-04-12,PDM-001,AU-109,DEAL-1004,mobile,US,7243,33,4993,6785
2026-04-12,PDM-001,AU-109,DEAL-1004,desktop,FR,8883,32,6061,8424
2026-04-12,PDM-001,AU-103,DEAL-1005,mobile,US,17285,21,10870,16392
2026-04-12,PDM-001,AU-112,DEAL-1006,desktop,US,10302,80,8331,10180
2026-04-12,PDM-001,AU-112,DEAL-1006,desktop,DE,11785,17,9513,11605
2026-04-12,PDM-001,AU-101,DEAL-1007,mobile,US,3012,18,1955,2921
2026-04-12,PDM-001,AU-106,DEAL-1008,desktop,US,5189,36,3574,5019
2026-04-12,PDM-001,AU-102,DEAL-1009,mobile,US,3670,25,2703,3463
2026-04-12,PDM-001,AU-111,DEAL-1010,mobile,US,11175,54,6404,10574
2026-04-12,PDM-001,AU-103,DEAL-1012,mobile,US,15500,32,11126,15032
2026-04-12,PDM-001,AU-106,DEAL-1013,mobile,US,5168,21,2920,5029
2026-04-12,PDM-001,AU-104,DEAL-1014,desktop,US,10986,42,6645,10127
2026-04-12,PDM-001,AU-104,DEAL-1014,mobile,US,10112,37,7680,9362
2026-04-12,PDM-001,AU-105,DEAL-1016,mobile,US,5768,16,3219,5365
2026-04-12,PDM-001,AU-112,DEAL-1016,desktop,US,6966,19,4814,6528
2026-04-12,PDM-001,AU-108,DEAL-1017,desktop,US,3310,12,2151,3240
2026-04-12,PDM-001,AU-113,DEAL-1019,mobile,US,11532,43,8372,10867
2026-04-12,PDM-001,AU-114,DEAL-1021,mobile,US,9665,47,6631,9292
2026-04-12,PDM-001,AU-112,DEAL-1025,desktop,US,3097,16,2168,2901
2026-04-13,PDM-001,AU-101,DEAL-1001,mobile,US,23078,109,18425,22723
2026-04-13,PDM-001,AU-105,DEAL-1002,desktop,US,14281,67,7928,13776
2026-04-13,PDM-001,AU-108,DEAL-1003,desktop,US,15594,62,9010,14357
2026-04-13,PDM-001,AU-110,DEAL-1005,mobile,US,19819,60,11233,19510
2026-04-13,PDM-001,AU-112,DEAL-1006,desktop,DE,13741,33,9080,13106
2026-04-13,PDM-001,AU-106,DEAL-1008,desktop,US,12339,73,7424,11371
2026-04-13,PDM-001,AU-106,DEAL-1008,mobile,US,11992,26,8017,11167
2026-04-13,PDM-001,AU-114,DEAL-1009,mobile,US,24635,56,15912,23797
2026-04-13,PDM-001,AU-111,DEAL-1010,desktop,US,9538,59,5297,9314
2026-04-13,PDM-001,AU-111,DEAL-1010,mobile,US,10126,33,6060,9640
2026-04-13,PDM-001,AU-104,DEAL-1014,desktop,US,17503,117,10845,16967
2026-04-13,PDM-001,AU-101,DEAL-1015,desktop,US,6889,18,4232,6394
2026-04-13,PDM-001,AU-101,DEAL-1015,mobile,US,17704,34,10153,16763
2026-04-13,PDM-001,AU-111,DEAL-1017,desktop,US,12808,17,6692,12105
2026-04-13,PDM-001,AU-111,DEAL-1017,mobile,US,22401,124,14822,21250
2026-04-13,PDM-001,AU-113,DEAL-1019,desktop,US,21026,133,12505,19773
2026-04-13,PDM-001,AU-102,DEAL-1020,desktop,US,17485,112,11738,16692
2026-04-13,PDM-001,AU-114,DEAL-1021,desktop,US,20296,137,14342,18731
2026-04-13,PDM-001,AU-110,DEAL-1022,mobile,US,13755,109,8566,13087
2026-04-13,PDM-001,AU-112,DEAL-1025,desktop,US,21765,152,14215,20953
2026-04-14,PDM-001,AU-107,DEAL-1003,mobile,US,13480,38,11171,13211
2026-04-14,PDM-001,AU-108,DEAL-1003,desktop,US,15987,113,12025,14850
2026-04-14,PDM-001,AU-108,DEAL-1003,mobile,US,12111,83,6800,11475
2026-04-14,PDM-001,AU-109,DEAL-1004,desktop,FR,5550,34,4370,5375
2026-04-14,PDM-001,AU-112,DEAL-1006,desktop,US,17522,103,13535,17162
2026-04-14,PDM-001,AU-106,DEAL-1008,desktop,US,11792,59,7870,11315
2026-04-14,PDM-001,AU-106,DEAL-1008,mobile,US,5505,29,2989,5387
2026-04-14,PDM-001,AU-102,DEAL-1009,mobile,US,7058,24,4896,6534
2026-04-14,PDM-001,AU-114,DEAL-1009,mobile,US,4022,9,2295,3894
2026-04-14,PDM-001,AU-104,DEAL-1010,mobile,US,27789,174,15242,26400
2026-04-14,PDM-001,AU-111,DEAL-1010,desktop,US,9493,18,6697,8883
2026-04-14,PDM-001,AU-111,DEAL-1010,mobile,US,7951,31,4220,7388
2026-04-14,PDM-001,AU-103,DEAL-1012,desktop,US,12767,25,9649,12436
2026-04-14,PDM-001,AU-103,DEAL-1012,mobile,US,6241,30,3600,6008
2026-04-14,PDM-001,AU-106,DEAL-1013,mobile,US,17490,101,9874,17143
2026-04-14,PDM-001,AU-104,DEAL-1014,desktop,US,6535,24,4157,6452
2026-04-14,PDM-001,AU-104,DEAL-1014,mobile,US,25122,68,18522,24169
2026-04-14,PDM-001,AU-101,DEAL-1015,desktop,US,3378,10,2270,3230
2026-04-14,PDM-001,AU-105,DEAL-1016,desktop,US,4288,15,2978,4017
2026-04-14,PDM-001,AU-105,DEAL-1016,mobile,US,15832,30,11181,15519
2026-04-14,PDM-001,AU-111,DEAL-1017,mobile,US,4451,11,3657,4382
2026-04-14,PDM-001,AU-107,DEAL-1018,mobile,US,17612,104,11591,16304
2026-04-14,PDM-001,AU-113,DEAL-1019,mobile,US,6589,49,3884,6511
2026-04-14,PDM-001,AU-102,DEAL-1020,desktop,US,21716,148,11974,21014
2026-04-14,PDM-001,AU-110,DEAL-1022,desktop,US,5325,22,3294,5125
2026-04-14,PDM-001,AU-109,DEAL-1023,mobile,US,26986,57,18822,26627
2026-04-14,PDM-001,AU-112,DEAL-1025,desktop,US,6659,47,3623,6485
2026-04-15,PDM-001,AU-101,DEAL-1001,desktop,US,4592,35,3093,4426
2026-04-15,PDM-001,AU-101,DEAL-1001,desktop,UK,21075,44,16798,20529
2026-04-15,PDM-001,AU-105,DEAL-1002,mobile,US,4084,28,2119,3760
